Comment,Designator,Footprint,LCSC
100 @ 100MHz,"FB1,FB2",L_0805_2012Metric,C1015
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100k,R42,R_0805_2012Metric,C149504
100u,C10,C_1206_3216Metric,C15008
10u/35V,"C16,C79,C80",C_0805_2012Metric,C15850
10n,C82,C_0805_2012Metric,C1710
10k,"R100,R101,R26,R4,R43,R7",R_0805_2012Metric,C17414
120R,"R57,R58,R59",R_0805_2012Metric,C17437
12k,"R64,R65,R66,R67,R78,R79,R82,R83,R86,R88,R91,R92",R_0805_2012Metric,C17444
1k,"R1,R10,R103,R17,R18,R2,R21,R22,R29,R30,R31,R32,R33,R37,R39,R41,R5,R52,R54,R56,R6,R69,R70,R8,R9",R_0805_2012Metric,C17513
2k2,"R34,R35,R93,R94,R95,R96,R97,R98",R_0805_2012Metric,C17520
220R,"R44,R87",R_0805_2012Metric,C17557
4k7,"R102,R19,R20,R23,R24,R25,R27,R28,R36,R40,R51,R53,R55",R_0805_2012Metric,C17673
470R,R38,R_0805_2012Metric,C17710
47k,"R71,R72,R73,R74,R75,R99",R_0805_2012Metric,C17713
6k2,"R60,R61,R62,R63,R76,R77,R80,R81,R84,R85,R89,R90",R_0805_2012Metric,C17767
4u7,C76,C_0805_2012Metric,C1779
680R,R3,R_0805_2012Metric,C17798
12p,"C33,C34,C52,C53",C_0805_2012Metric,C1792
"PBHV8115T,215","Q1,Q2,Q3,Q4,Q5,Q6,Q7",SOT-23,C282549
2n2,"C49,C50,C51",C_0805_2012Metric,C28260
1u,"C7,C74,C75,C8,C9",C_0805_2012Metric,C28323
32.768kHz (ECS-.327-9-34QN-TR),Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,C32346
1n2,"C35,C36,C37,C38,C40,C41,C42,C43,C44,C45,C46,C47",C_0805_2012Metric,C46653
2u2,"C31,C32",C_0805_2012Metric,C49217
100n,"C1,C2,C24,C25,C26,C27,C28,C29,C30,C39,C48,C5,C54,C55,C56,C57,C58,C59,C6,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C77,C78,C81",C_0805_2012Metric,C49678
"74HC14D,653",U9,SOIC-14_3.9x8.7mm_P1.27mm,C5605
22u,"C17,C18",C_1206_3216Metric,C5672
LM324DT,"U14,U15,U7",SOIC-14_3.9x8.7mm_P1.27mm,C71035
3.3V,"ZD10,ZD11,ZD12,ZD13,ZD16,ZD17,ZD18,ZD5",D_MiniMELF,C8056
LED,"D14,D15,D7,D8,D9",LED_0805_2012Metric,C84256
B5819W,D6,D_SOD-123,C8598
