Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,3V/CR2032,BatteryHolder_Keystone_1060_1x2032,78.75,-116.5,90.0,top
D1,D,D_SMA,46.5,-35.0,-90.0,bottom
D2,D,D_SMA,46.5,-49.0,-90.0,bottom
D3,D,D_SMA,46.5,-63.0,-90.0,bottom
D4,D,D_SMA,46.5,-78.0,-90.0,bottom
D19,V15P45S-M3_86A,V15P45SM387A,45.4,-130.755,90.0,bottom
F1,0154010.DRL,0154010DRL,46.0,-144.5,90.0,bottom
F2,0154010.DRL,0154010DRL,53.5,-144.5,90.0,bottom
F3,0154010.DRL,0154010DRL,61.0,-144.5,90.0,bottom
F5,0154010.DRL,0154010DRL,68.5,-144.5,90.0,bottom
F6,0154010.DRL,0154010DRL,76.0,-144.5,90.0,bottom
F7,0154010.DRL,0154010DRL,83.5,-144.5,90.0,bottom
H1,MountingHole,MountingHole_2.5mm,95.0,-43.0,0.0,top
H2,MountingHole,MountingHole_2.5mm,107.0,-125.0,0.0,top
H3,MountingHole,MountingHole_2.5mm,151.0,-43.0,0.0,top
IC6,790,790,96.5,-168.5,0.0,top
IC7,SN74ABT125QDRG4Q1,SOIC-14_3.9x8.7mm_P1.27mm,145.75,-121.55,180.0,top
IC8,SN74ABT125QDRG4Q1,SOIC-14_3.9x8.7mm_P1.27mm,145.725,-108.61,180.0,top
J1,DT13-48PABCD-R015_PHYSICAL,DT1348PABCDR015_PHYSICAL,55.34,-160.75,0.0,top
J2,Expansion,PinHeader_2x09_P2.54mm_Vertical,147.32,-50.8,0.0,top
J3,Micro_SD_Card_Det,microSD_HC_Molex_104031-0811,114.525,-34.625,90.0,top
J4,ARM_SWD,PinHeader_2x05_P1.27mm_Vertical_SMD,96.62,-72.64,0.0,top
J5,619540-1,6195401,96.75,-182.5,-90.0,top
JP1,BOOT_EXT,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,141.5,-100.5,0.0,top
JP6,BOOT,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,128.5,-100.5,0.0,top
K1,5-1419124-7,514191247,63.25,-38.75,0.0,top
K2,5-1419124-7,514191247,63.25,-52.75,0.0,top
